idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,agent3_x,agent3_y,agent3_phi,agent3_has_message,agent4_x,agent4_y,agent4_phi,agent4_has_message,agent5_x,agent5_y,agent5_phi,agent5_has_message,agent6_x,agent6_y,agent6_phi,agent6_has_message,agent7_x,agent7_y,agent7_phi,agent7_has_message,jammer_x,jammer_y,file_idx,file
21,20,9.81823055623084,False,True,2.976558161013601,-0.6231592656136645,,True,3.9561563150388133,-0.9294117696966255,,False,5.275875723578153,-1.0082982077845712,,False,5.77342347671939,-1.3225213952884582,,False,7.666609579652195,-1.882589459298822,,False,8.946665506571517,-1.8378566250499235,,False,9.151230680626938,2.083544537506281,,False,3.1441228654470863,-0.9078642689653476,1804,evaluation_states_K7_n10000.csv
22,21,9.81823055623084,False,True,3.176362070821221,-0.6143050222474382,,True,3.936535321166857,-0.7303765552257269,,False,5.181931146890304,-0.8317354243024886,,False,5.817650998593226,-1.1274728723284024,,False,7.646988585780238,-1.6835542448279233,,False,8.870813390854867,-1.6527986434838537,,False,9.160607125876396,1.8837644527268318,,False,3.1159550108919456,-0.8119133858544536,1804,evaluation_states_K7_n10000.csv
23,22,9.81823055623084,False,True,3.376165980628841,-0.6054507788812118,,True,3.921836279041412,-0.5812695823044369,,True,5.087986570202454,-0.655172640820406,,False,5.861878520467062,-0.9324243493683466,,False,7.627367591908282,-1.4845190303570246,,False,8.794961275138215,-1.467740661917784,,False,9.169983571125853,1.6839843679473825,,False,3.087787156336805,-0.7159625027435597,1804,evaluation_states_K7_n10000.csv
24,23,9.81823055623084,False,True,3.575969890436461,-0.5965965355149855,,True,4.120871493512311,-0.5616485884324804,,True,4.994041993514605,-0.4786098573383233,,False,5.906106042340898,-0.7373758264082908,,False,7.607746598036325,-1.285483815886126,,False,8.719109159421564,-1.2826826803517142,,False,9.17936001637531,1.4842042831679332,,False,3.059619301781664,-0.6200116196326657,1804,evaluation_states_K7_n10000.csv
25,24,9.81823055623084,False,True,3.575969890436461,-0.5965965355149855,,True,4.31990670798321,-0.5420275945605239,,True,4.9925056733065105,-0.4757224424196078,,True,5.950333564214733,-0.542327303448235,,False,7.588125604164369,-1.0864486014152273,,False,8.643257043704914,-1.0976246987856444,,False,9.188736461624767,1.2844241983884839,,False,3.0314514472265235,-0.5240607365217718,1804,evaluation_states_K7_n10000.csv
26,25,9.81823055623084,False,True,3.575969890436461,-0.5965965355149855,,True,4.31990670798321,-0.5420275945605239,,True,5.19154088777741,-0.4561014485476513,,True,5.987681745661003,-0.3776174730598252,,True,7.568504610292413,-0.8874133869443286,,False,8.567404927988264,-0.9125667172195746,,False,9.198112906874226,1.0846441136090346,,False,3.003283592671383,-0.42810985341087776,1804,evaluation_states_K7_n10000.csv
27,26,9.81823055623084,False,True,3.575969890436461,-0.5965965355149855,,True,4.31990670798321,-0.5420275945605239,,True,5.19154088777741,-0.4561014485476513,,True,6.1867169601319025,-0.35799647918786864,,True,7.548883616420456,-0.6883781724734299,,False,8.491552812271612,-0.7275087356535048,,False,9.207489352123682,0.8848640288295853,,False,2.975115738116242,-0.33215897029998376,1804,evaluation_states_K7_n10000.csv
28,27,9.81823055623084,False,True,3.575969890436461,-0.5965965355149855,,True,4.31990670798321,-0.5420275945605239,,True,5.19154088777741,-0.4561014485476513,,True,6.385752174602802,-0.3383754853159121,,True,7.529262622548499,-0.4893429580025312,,False,8.41570069655496,-0.542450754087435,,False,9.21686579737314,0.685083944050136,,False,2.9469478835611014,-0.23620808718908975,1804,evaluation_states_K7_n10000.csv
29,28,9.81823055623084,False,True,3.575969890436461,-0.5965965355149855,,True,4.31990670798321,-0.5420275945605239,,True,5.19154088777741,-0.4561014485476513,,True,6.584787389073701,-0.31875449144395557,,True,7.509641628676543,-0.29030774353163247,,True,8.33984858083831,-0.3573927725213651,,False,9.226242242622597,0.4853038592706867,,False,2.9187800290059607,-0.14025720407819575,1804,evaluation_states_K7_n10000.csv
30,29,9.81823055623084,False,True,3.575969890436461,-0.5965965355149855,,True,4.31990670798321,-0.5420275945605239,,True,5.19154088777741,-0.4561014485476513,,True,6.584787389073701,-0.31875449144395557,,True,7.7063894986762795,-0.25438733637126065,,True,8.263996465121659,-0.1723347909552953,,False,9.235618687872055,0.28552377449123745,,False,2.89061217445082,-0.04430632096730175,1804,evaluation_states_K7_n10000.csv
31,30,9.81823055623084,False,True,3.575969890436461,-0.5965965355149855,,True,4.31990670798321,-0.5420275945605239,,True,5.19154088777741,-0.4561014485476513,,True,6.584787389073701,-0.31875449144395557,,True,7.7063894986762795,-0.25438733637126065,,True,8.256464816072024,-0.1539596703957542,,True,9.244995133121511,0.08574368971178817,,False,2.8624443198956793,0.051644562143592254,1804,evaluation_states_K7_n10000.csv
32,31,9.81823055623084,False,True,3.575969890436461,-0.5965965355149855,,True,4.31990670798321,-0.5420275945605239,,True,5.19154088777741,-0.4561014485476513,,True,6.584787389073701,-0.31875449144395557,,True,7.7063894986762795,-0.25438733637126065,,True,8.455500030542922,-0.13433867652379766,,True,9.251640888426518,-0.0558547010359714,,True,2.8342764653405386,0.14759544525448626,1804,evaluation_states_K7_n10000.csv
33,32,9.81823055623084,False,True,3.575969890436461,-0.5965965355149855,,True,4.31990670798321,-0.5420275945605239,,True,5.19154088777741,-0.4561014485476513,,True,6.584787389073701,-0.31875449144395557,,True,7.7063894986762795,-0.25438733637126065,,True,8.455500030542922,-0.13433867652379766,,True,9.450676102897416,-0.036233707164014875,,True,2.806108610785398,0.24354632836538026,1804,evaluation_states_K7_n10000.csv
