idx,success,R,value,budget,agent_sum_distance,air_distance,delivery_time,directed_transmission,K,file
7211,True,8.048066066722402,5.013927688178731,8.770584514241708,17.399999999999974,5.801066796285552,26,True,7,evaluation_states_K7_n10000.csv
7212,True,7.717576857234619,4.392738706659907,8.583212652566553,18.59999999999997,5.081362529716023,28,True,7,evaluation_states_K7_n10000.csv
7213,True,9.142502124516614,4.175690133592793,9.40954360248466,25.199999999999946,7.333315208827654,31,True,7,evaluation_states_K7_n10000.csv
7214,True,7.849203775753482,4.57626324906567,8.657528999756016,20.399999999999963,5.805485909521279,22,True,7,evaluation_states_K7_n10000.csv
7215,True,10.983763943673466,3.503315734631635,10.548521069104513,31.199999999999925,7.149592433918592,47,True,7,evaluation_states_K7_n10000.csv
7216,True,8.248361095110205,3.851910755211806,8.885401200622091,24.799999999999947,5.982803229654366,32,True,7,evaluation_states_K7_n10000.csv
7217,True,7.717240726094876,5.470427375637899,8.583023398674577,12.59999999999999,4.579152501315671,20,True,7,evaluation_states_K7_n10000.csv
7218,True,7.131230129919375,4.465295875896457,8.257146889439804,19.399999999999967,5.572048134573189,22,True,7,evaluation_states_K7_n10000.csv
7219,True,9.107365168956372,5.139398375002199,9.388589058469986,17.99999999999997,7.392110961541,26,True,7,evaluation_states_K7_n10000.csv
7220,True,8.853221007319993,4.460348510335289,9.237896206978776,23.399999999999945,5.33672794793292,30,True,7,evaluation_states_K7_n10000.csv
7221,True,8.467948347046006,5.6122180235831,9.012368628865627,13.59999999999998,6.077517612271868,21,True,7,evaluation_states_K7_n10000.csv
7222,True,7.0563123939253956,3.7540992638279382,8.216071934324608,18.799999999999965,5.155546876129659,35,True,7,evaluation_states_K7_n10000.csv
7223,True,10.904154404781975,4.720722908486325,10.497615207643207,24.399999999999952,6.240788445500836,38,True,7,evaluation_states_K7_n10000.csv
7224,True,9.873507569344845,4.971487223846374,9.852122969503124,24.999999999999943,7.401527216221288,27,True,7,evaluation_states_K7_n10000.csv
7225,True,9.490614190851218,4.818854454762415,9.61872607400347,23.19999999999995,6.50283988997778,27,True,7,evaluation_states_K7_n10000.csv
7226,True,9.306328065787204,2.6140383596706607,9.50763004255634,31.39999999999992,5.952101077534933,51,True,7,evaluation_states_K7_n10000.csv
7227,True,10.948956081513101,4.521797190560817,10.526244917200955,30.19999999999993,6.6866160203229725,33,True,7,evaluation_states_K7_n10000.csv
7228,True,10.257164384030284,6.367449189479701,10.089467444119807,13.79999999999998,8.186426870457517,23,True,7,evaluation_states_K7_n10000.csv
7229,True,8.156723581845739,5.502819829245874,8.832753214101457,13.199999999999985,6.580987267272551,20,True,7,evaluation_states_K7_n10000.csv
7230,True,9.352890269461051,4.85815510723803,9.535623919648302,23.39999999999995,6.580863181037197,28,True,7,evaluation_states_K7_n10000.csv
7231,True,9.645569736641779,5.5019035459490215,9.712762729966304,16.199999999999978,7.653515711067592,28,True,7,evaluation_states_K7_n10000.csv
7232,True,10.702546192908283,5.214821979082425,10.369369307341195,20.799999999999958,7.4502178810301745,34,True,7,evaluation_states_K7_n10000.csv
7233,True,7.181920383745797,2.938578176477868,8.285014095074521,18.999999999999968,4.988477164488108,50,True,7,evaluation_states_K7_n10000.csv
7234,True,7.127093806548224,4.148517578964878,8.254875611406174,20.799999999999958,4.156666520305718,24,True,7,evaluation_states_K7_n10000.csv
7235,True,10.8275590504813,4.277779240535054,10.448778416440078,29.799999999999923,6.372046723543286,37,True,7,evaluation_states_K7_n10000.csv
7236,True,8.31752452264623,3.5023458965381606,8.925268962098718,27.19999999999994,5.214779401007765,37,True,7,evaluation_states_K7_n10000.csv
7237,True,9.940993357240407,5.281831036851372,9.893619562675624,21.799999999999955,7.471134415889838,27,True,7,evaluation_states_K7_n10000.csv
7238,True,9.2321019979702,4.5418735035482065,9.463110404423293,23.999999999999947,6.774527420350072,31,True,7,evaluation_states_K7_n10000.csv
7239,True,9.900267095726523,4.401246314418383,9.868564332575119,28.799999999999937,6.3690930345613825,31,True,7,evaluation_states_K7_n10000.csv
7240,True,10.469345237478308,5.447589954730573,10.222227414474876,19.599999999999966,7.533778975605286,29,True,7,evaluation_states_K7_n10000.csv
7241,True,9.162886904053872,4.192048954627274,9.421713826917284,25.999999999999943,6.769175034916872,30,True,7,evaluation_states_K7_n10000.csv
7242,True,10.700467347391642,4.935643007394008,10.368051937330055,26.39999999999995,6.20372177204224,30,True,7,evaluation_states_K7_n10000.csv
7243,True,7.57607359869609,6.053002582668849,8.50377776341687,10.599999999999994,6.205902944045158,15,True,7,evaluation_states_K7_n10000.csv
7244,True,10.589326874639106,4.636064915089893,10.297770912752792,27.199999999999935,6.7300632243181,34,True,7,evaluation_states_K7_n10000.csv
7245,True,10.434539855455107,3.5706429068167784,10.200376848536155,34.199999999999946,4.862049281419146,39,True,7,evaluation_states_K7_n10000.csv
7246,True,7.888988262820439,4.890044240159723,8.680072004291944,21.399999999999956,5.530127666563483,19,True,7,evaluation_states_K7_n10000.csv
7247,True,10.544443068191924,4.753243434337504,10.269471012963216,26.39999999999994,4.966121964403412,34,True,7,evaluation_states_K7_n10000.csv
7248,True,8.983304876037304,4.05235370093442,9.314837363569291,19.999999999999964,6.617759257196402,40,True,7,evaluation_states_K7_n10000.csv
7249,True,8.440508101803402,5.263415708313193,8.996439989141024,17.59999999999997,5.526865356990979,21,True,7,evaluation_states_K7_n10000.csv
7250,True,7.298406956311249,4.386572431907899,8.349283718101912,18.599999999999966,5.111249382617717,26,True,7,evaluation_states_K7_n10000.csv
7251,True,7.583594397129742,5.18500915020884,8.507987740568439,14.999999999999979,4.511771981592061,22,True,7,evaluation_states_K7_n10000.csv
7252,True,8.71395960629851,4.449610465280795,9.155970916072896,22.599999999999955,5.60982849274248,32,True,7,evaluation_states_K7_n10000.csv
7253,True,8.531636139879,5.208063686923298,9.049407131285033,19.599999999999962,6.749266258454772,24,True,7,evaluation_states_K7_n10000.csv
7254,True,10.446316887171912,4.946882153484019,10.207767172248289,27.399999999999935,7.778477383258915,30,True,7,evaluation_states_K7_n10000.csv
7255,True,10.640841514673868,4.115603189103765,10.330310450033885,29.599999999999923,6.116089739332754,38,True,7,evaluation_states_K7_n10000.csv
7256,True,7.821592270345802,4.532884957118698,8.641905581698396,19.799999999999965,3.8065564008379313,23,True,7,evaluation_states_K7_n10000.csv
7257,True,8.10909470222923,4.691483145044314,8.805467800720024,19.799999999999965,5.834003831803202,26,True,7,evaluation_states_K7_n10000.csv
7258,True,10.522075140743759,4.2166215374027605,10.255385517431353,28.799999999999933,7.371011426667893,35,True,7,evaluation_states_K7_n10000.csv
7259,True,9.284796023825077,3.8096080709461853,9.494702025093982,27.999999999999932,7.461919262831005,36,True,7,evaluation_states_K7_n10000.csv
7260,True,7.268267504774707,5.109834402267536,8.33262393813133,15.39999999999998,5.254208829119272,20,True,7,evaluation_states_K7_n10000.csv
7261,True,7.5772779040873735,4.537307160390901,8.504451816952475,21.599999999999962,5.080449611852726,19,True,7,evaluation_states_K7_n10000.csv
7262,True,8.189716775992611,4.117333301500217,8.851685699005225,20.599999999999962,5.544453466822806,35,True,7,evaluation_states_K7_n10000.csv
7263,True,10.955895953977734,4.855451262693823,10.53068397018211,25.79999999999994,7.249674504075422,34,True,7,evaluation_states_K7_n10000.csv
7264,True,10.996676748280084,5.737741612636681,10.556792233887908,19.799999999999965,7.86432648331589,29,True,7,evaluation_states_K7_n10000.csv
7265,True,7.8853441148254015,4.130632455985987,8.67800556857232,24.19999999999995,7.114192861277502,25,True,7,evaluation_states_K7_n10000.csv
7266,True,8.187509781710602,4.620238991627182,8.850418454949018,21.19999999999996,6.780626763249547,23,True,7,evaluation_states_K7_n10000.csv
7267,True,8.056778434929095,5.2088712895025004,8.775559009694387,16.999999999999982,5.806254080277793,21,True,7,evaluation_states_K7_n10000.csv
7268,True,9.069254013536376,4.432047053218057,9.365893851610771,25.399999999999945,7.884449908567753,28,True,7,evaluation_states_K7_n10000.csv
7269,True,9.332013108299964,5.138972248788271,9.523065916080837,19.599999999999966,5.014195587484853,26,True,7,evaluation_states_K7_n10000.csv
7270,True,10.25151549064264,4.395023134398144,10.085947543629374,26.39999999999994,7.458464135024042,37,True,7,evaluation_states_K7_n10000.csv
7271,True,10.773297751557976,4.339050587358258,10.414265773727788,29.39999999999993,7.366176276730395,36,True,7,evaluation_states_K7_n10000.csv
7272,True,9.164824529264427,4.678916432374997,9.422871149878016,24.599999999999945,5.879711248965355,26,True,7,evaluation_states_K7_n10000.csv
7273,True,8.34157958503984,4.000476149699506,8.939161533400474,25.19999999999994,3.7133482629453596,31,True,7,evaluation_states_K7_n10000.csv
7274,True,7.947911882708134,4.353557994192441,8.713528645036009,21.999999999999964,5.762076926282846,26,True,7,evaluation_states_K7_n10000.csv
7275,True,7.216496415840514,5.067283592079327,8.304057339463562,16.99999999999997,5.6044700644945875,17,True,7,evaluation_states_K7_n10000.csv
7276,True,9.926262761493705,5.276528177075769,9.884552609061874,21.999999999999954,5.949673476552232,26,True,7,evaluation_states_K7_n10000.csv
7277,True,10.60992234558024,3.189034301862096,10.31077262785916,37.4,7.084729912847909,43,True,7,evaluation_states_K7_n10000.csv
7278,True,9.211798198894817,4.330656697057847,9.450955228098415,26.999999999999936,5.519187456455104,28,True,7,evaluation_states_K7_n10000.csv
7279,True,10.546342470530545,5.897796318417404,10.270667647341126,21.199999999999953,6.12031346790644,24,True,7,evaluation_states_K7_n10000.csv
7280,True,10.14219418511578,4.08148353289377,10.017976806733788,30.799999999999933,6.5891642539320205,33,True,7,evaluation_states_K7_n10000.csv
7281,True,9.803762571226999,4.662867214580852,9.809350529913239,26.59999999999994,6.6011033357376565,31,True,7,evaluation_states_K7_n10000.csv
7282,True,8.821138847016744,5.275980515788151,9.218982062615467,17.59999999999997,6.247696374106845,24,True,7,evaluation_states_K7_n10000.csv
7283,False,9.084594555306193,-3.1499866881726426,9.37502501372204,23.599999999999948,6.363394164519536,116,True,7,evaluation_states_K7_n10000.csv
7284,True,10.178877973246744,5.73205169100751,10.040753473610906,18.79999999999996,6.393134171691955,25,True,7,evaluation_states_K7_n10000.csv
7285,True,8.110654179758019,3.987838463761291,8.806360336354533,24.599999999999945,5.103955837904469,30,True,7,evaluation_states_K7_n10000.csv
7286,True,7.898583084507003,6.023159401417013,8.685514308852705,12.59999999999999,6.070638029408926,14,True,7,evaluation_states_K7_n10000.csv
7287,True,10.034058940931207,5.530248901705331,9.951021933369859,20.399999999999963,6.964432931262579,24,True,7,evaluation_states_K7_n10000.csv
7288,True,10.913280002972174,4.752220233310413,10.503442902936525,25.39999999999994,6.6706496157507935,34,True,7,evaluation_states_K7_n10000.csv
7289,True,10.59729634151912,4.293728284723412,10.30280076617092,30.399999999999924,5.127227793004476,36,True,7,evaluation_states_K7_n10000.csv
7290,True,8.817392011055198,5.452408948717105,9.216774692547546,16.599999999999973,6.982147402866048,22,True,7,evaluation_states_K7_n10000.csv
7291,True,10.748970014536098,5.082250446254497,10.398814869480693,23.199999999999946,7.180800889341149,33,True,7,evaluation_states_K7_n10000.csv
7292,True,9.26311523499675,4.202099730688389,9.481695792060531,26.199999999999935,7.263919854251158,32,True,7,evaluation_states_K7_n10000.csv
7293,True,9.460929619553118,4.397510374285755,9.60077652888842,27.599999999999937,5.773716553453307,30,True,7,evaluation_states_K7_n10000.csv
