idx,R,value,budget,agent_sum_distance,delivery_time,directed_transmission,jammer_on,clustering_on,minimize_distance,K,file
8869,7.983479038709149,3.536973552249666,5.702907309831092,8.181799697995174,30,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
8870,6.306485348224118,3.0692476472871197,4.895227268824952,11.32073386976032,19,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
8871,5.407490014877568,3.5068635568855626,4.4863677954088335,3.4853854535377238,17,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
8872,7.546993560013714,2.818939753265473,5.487046416581414,13.393180153972818,33,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
8873,8.268972606781048,2.967961252838635,5.846242844334659,15.95592671320644,31,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
8874,6.90824658185856,3.348767747153463,5.1783112235828135,7.88066154055155,26,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
8875,5.386783430238845,3.644317039997138,4.477148857400136,3.3350927035701567,13,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
8876,5.555183898241384,3.5505219134183563,4.552382754598777,3.4983469982562436,17,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
8877,8.939126449738193,3.4084640599503797,6.189371574461221,12.557497729894289,33,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
8878,6.140026937819162,2.4352771307624197,4.818252731760477,13.337316874535398,31,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
8879,7.679811605382452,3.7974757430156725,5.55231062262155,6.420765026104714,25,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
8880,6.443001693360884,3.3270173687285287,4.958786601803599,5.079080685610692,28,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
8881,6.855881712701006,2.668789262735569,5.153377825739323,15.174130443628668,27,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
8882,8.902142159600395,2.8119713629320873,6.1701911869737,15.609574206736763,41,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
8883,8.19702080450611,3.8180269254798547,5.809958546041825,8.468039273092353,25,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
8884,7.809409984591998,3.1112993419563537,5.616346933351027,12.330048262292918,31,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
8885,7.389131650657821,3.1875631223723206,5.409954038446228,11.255303362807243,27,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
8886,8.883444613417957,2.5949356999738713,6.160505313094136,18.375090690844907,44,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
8887,8.354604669314611,3.401684253474871,5.889566445050914,10.641995105444625,32,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
8888,5.897864705898503,3.2205296387353846,4.707301398523079,6.401674678985808,22,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
8889,6.835999462467974,3.551315523835377,5.14392590323914,6.799526623066315,22,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
8890,6.237188740419599,2.9330974100058427,4.863112661147759,9.988597474042791,25,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
8891,7.93223040311854,3.0155821385912076,5.677357036157279,13.764267855351552,32,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
8892,5.937230003161398,3.3040894234695566,4.725254233463497,5.338146792874557,23,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
8893,8.919834327573518,3.915623912913809,6.17936295066595,6.858430987186934,32,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
8894,7.67926815996558,2.662144248506642,5.552042835465697,15.532660392709086,36,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
8895,6.258344302742547,3.260598997997516,4.872906323437988,6.78123877284339,24,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
8896,8.673689056917084,3.6641197705937696,6.0523448797649095,9.291500520023526,31,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
8897,7.764936862144468,3.2935515978905436,5.594332735190557,8.815639038440148,33,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
8898,7.760199560192014,3.148245067516459,5.591990198342883,10.890412203898594,33,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
8899,6.45496849424673,3.290597595373086,4.964376614905884,8.73747147310517,21,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
8900,5.446812420853518,3.4141322569981556,4.50389940999911,4.5268793063740445,17,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
8901,7.4850058825641295,2.484809870057275,5.456712638248787,16.658949857859376,36,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
